SegmentId;TargetPlatform;LandingOffset_m;LandingOffset_Forward_m;LandingOffset_Side_m;SafetyMargin_m;VerticalSpeed_mps;ApproachAngle_deg;MicroCorrections_0_5s;PreLandingHorizontalJitter;PostStabilizationTime_s;PostLandingDrift_m;LandingFailed;PostLandingFall;LandingType
LandingSegment_1;TargetAnchor1;1.242464;-0.03192139;1.242054;1.710416;-9.120976;0;0;0.1139257;0.5493755;0.3687544;0;0;CleanLanding
LandingSegment_2;TargetAnchor2;1.337246;0.1748657;-1.325764;2.120434;-21.92695;0;0;0.0653551;0.5451546;0.2870827;0;0;CleanLanding
LandingSegment_3;TargetAnchor3;1.745301;1.744614;0.04899597;1.423874;-12.53194;0;1;1.53005;1.121017;1.239553;0;0;CleanLanding
LandingSegment_4;TargetAnchor4;1.285865;-0.4816437;1.192253;1.748153;-13.13182;0;0;0.5918306;0.5632114;0.3455055;0;0;CleanLanding
LandingSegment_5;TargetAnchor5;1.29764;-1.133698;-0.6313477;1.608622;-12.11688;0;0;0.001978234;0.554718;0.3668752;0;0;CleanLanding
LandingSegment_6;TargetAnchor6;2.360401;2.356262;0.1397171;0.6475689;-10.25924;0;0;0.186433;1.127102;2.919125;0;0;CleanLanding
LandingSegment_7;TargetAnchor7;32.62513;31.35625;-9.010284;0;-10.25924;0;0;0;0;0;1;1;MissedPlatform_Fall
LandingSegment_8;TargetAnchor1;0.8695886;0.7583466;0.4255524;2.26378;-15.73995;0;0;0;0.5685158;0.4217595;0;0;CleanLanding
LandingSegment_9;TargetAnchor2;2.021112;2.021103;0.006145477;1.308896;-21.85588;0;0;0.6055753;1.202816;4.830137;0;0;CleanLanding
LandingSegment_10;TargetAnchor3;0.2958299;0.1772842;-0.236824;2.78305;-22.29977;0;0;0.001648528;0.568737;0.4339553;0;0;CleanLanding
LandingSegment_11;TargetAnchor4;2.040936;2.003006;0.3916473;0.8608377;-25.70306;0;0;0;0;5.852781;1;1;HitThenFall
LandingSegment_12;TargetAnchor5;30.76225;30.703;-1.908356;0;-25.70306;0;1;2.927743;0;0;1;1;MissedPlatform_Fall
LandingSegment_13;TargetAnchor1;1.75345;-0.6607208;1.624203;1.144419;-17.26223;0;0;0.8627527;1.230492;2.200695;0;0;CleanLanding
LandingSegment_14;TargetAnchor2;1.972279;-1.171158;-1.586906;1.615209;-21.23422;0;0;0.4700221;0.5358124;0.3144793;0;0;CleanLanding
LandingSegment_15;TargetAnchor3;0.9259142;-0.4811096;-0.7911072;1.990766;-21.03597;0;0;0;0.5646744;0.3838814;0;0;CleanLanding
LandingSegment_16;TargetAnchor4;1.117695;-0.8020706;-0.7784119;1.951749;-29.39173;0;0;0;0.5713577;0.4258659;0;0;CleanLanding
LandingSegment_17;TargetAnchor5;1.223814;1.221481;0.07553101;1.659592;-23.5105;0;0;0.2386832;1.140915;2.412571;0;0;CleanLanding
LandingSegment_18;TargetAnchor6;2.873158;-2.845972;-0.39431;0.05846334;-32.14463;0;0;0;0;0.4353722;1;1;HitThenFall
LandingSegment_19;TargetAnchor7;0.7241157;0.5759168;-0.4389343;2.243861;-10.14133;0;0;0.3846724;0.5640869;0.3821682;0;0;CleanLanding
LandingSegment_20;TargetAnchor8;19.43884;5.082666;18.76259;0;-14.45945;0;0;0.508822;0.8803024;4.21603;1;0;MissedPlatform_Standing
